"","Well Position","name","type","Sample Name","CT","Tm","Melt Peak Height","outcome","Test","Test Results"
"1","H1","Negative","NEG","Negative",38.7039031982422,72.9712219238281,32992.6953125,"NEG_outcome_01","NEG_01",FALSE
"2","H1","Negative","NEG","Negative",38.7039031982422,72.9712219238281,32992.6953125,"NEG_outcome_01","NEG_02",FALSE
"3","H1","Negative","NEG","Negative",38.7039031982422,72.9712219238281,32992.6953125,"NEG_outcome_01","NEG_03",TRUE
"4","H1","Negative","NEG","Negative",38.7039031982422,72.9712219238281,32992.6953125,"NEG_outcome_01","NEG_04",TRUE
"5","H1","Negative","NEG","Negative",38.7039031982422,86.8779754638672,5080.6787109375,"NEG_outcome_01","NEG_01",FALSE
"6","H1","Negative","NEG","Negative",38.7039031982422,86.8779754638672,5080.6787109375,"NEG_outcome_01","NEG_02",FALSE
"7","H1","Negative","NEG","Negative",38.7039031982422,86.8779754638672,5080.6787109375,"NEG_outcome_01","NEG_03",TRUE
"8","H1","Negative","NEG","Negative",38.7039031982422,86.8779754638672,5080.6787109375,"NEG_outcome_01","NEG_04",FALSE
"9","H12","Positive","POS","Positive",25.8269386291504,82.6132049560547,202434.625,"POS_outcome_03","POS_01",TRUE
"10","H12","Positive","POS","Positive",25.8269386291504,82.6132049560547,202434.625,"POS_outcome_03","POS_02",FALSE
"11","H12","Positive","POS","Positive",25.8269386291504,82.6132049560547,202434.625,"POS_outcome_03","POS_03",TRUE
"12","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_01",TRUE
"13","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_02",FALSE
"14","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_03",FALSE
"15","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_04",TRUE
"16","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_05",TRUE
"17","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_06",FALSE
"18","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_07",FALSE
"19","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","IHC_08",FALSE
"20","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","POS_01",TRUE
"21","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","POS_02",TRUE
"22","A8","U01","IHC","U01_IHC",24.8708934783936,85.0353851318359,242540.015625,"IHC_outcome_03","POS_03",TRUE
